Order_ID,Order_Date,Region,Product,Customer,Sales,Profit
54,2024-12-22,South,Monitor,Customer C,1629,2709
55,2024-07-20,East,Mobile,Customer A,8298,1497
56,2024-10-01,South,Monitor,Customer B,6078,999
57,2024-04-05,East,Tablet,Customer D,4446,2971
58,2024-04-22,South,Monitor,Customer B,2975,2635
59,2024-10-06,North,Mobile,Customer D,9762,1038
60,2024-05-19,East,Laptop,Customer C,5250,1364
61,2024-10-03,East,Mobile,Customer B,5233,2792
62,2024-06-22,South,Tablet,Customer B,7087,253
63,2024-12-09,South,Monitor,Customer C,1009,866
64,2024-05-04,West,Mobile,Customer D,7722,2946
65,2024-03-16,West,Tablet,Customer A,4576,2775
66,2024-12-07,North,Keyboard,Customer B,5046,1934
67,2024-12-02,North,Mobile,Customer E,6929,1165
68,2024-08-23,East,Keyboard,Customer A,4810,2832
69,2024-07-03,North,Tablet,Customer B,2907,704
70,2024-06-11,North,Laptop,Customer A,8710,650
71,2024-11-05,North,Monitor,Customer B,3872,1835
72,2024-12-25,North,Mobile,Customer A,3772,1406
73,2024-01-06,East,Keyboard,Customer D,9911,1530
74,2024-07-03,East,Laptop,Customer D,6466,146
75,2024-04-27,West,Monitor,Customer C,4275,1398
76,2024-08-10,South,Tablet,Customer A,7508,1802
77,2024-04-29,East,Tablet,Customer E,2765,1864
78,2024-07-28,North,Laptop,Customer C,6092,1351
79,2024-02-10,South,Keyboard,Customer A,2899,791
80,2024-01-15,South,Tablet,Customer E,4728,2969
81,2024-03-24,South,Keyboard,Customer D,2223,2634
82,2024-11-15,North,Tablet,Customer E,7310,2335
83,2024-06-11,East,Laptop,Customer B,8778,453
84,2024-08-21,West,Tablet,Customer C,5477,1559
85,2024-12-15,South,Laptop,Customer A,8644,2956
86,2024-02-12,North,Laptop,Customer A,5743,2905
87,2024-03-31,East,Laptop,Customer E,4358,2295
88,2024-10-03,South,Tablet,Customer E,6344,625
89,2024-01-25,East,Tablet,Customer E,9490,561
90,2024-02-03,South,Tablet,Customer D,7399,822
91,2024-03-19,North,Tablet,Customer C,8962,2567
92,2024-03-05,East,Laptop,Customer C,4482,2235
93,2024-02-10,West,Monitor,Customer A,1415,1526
94,2024-11-16,West,Laptop,Customer E,1387,141
95,2024-11-22,West,Mobile,Customer E,4324,576
96,2024-06-11,North,Mobile,Customer A,4498,210
97,2024-10-13,South,Monitor,Customer D,7166,774
98,2024-08-20,West,Laptop,Customer E,5771,2307
99,2024-02-08,South,Mobile,Customer C,6514,1813
100,2024-06-22,South,Laptop,Customer C,8447,1776
101,2024-04-30,West,Tablet,Customer D,4911,1536
102,2024-04-25,West,Tablet,Customer C,6117,1450
103,2024-07-21,North,Mobile,Customer C,4278,1945
104,2024-09-15,West,Keyboard,Customer C,1159,1425
105,2024-02-03,West,Mobile,Customer A,8525,1095
106,2024-02-11,East,Monitor,Customer D,8622,1801
107,2024-01-04,South,Mobile,Customer B,8121,2622
108,2024-07-27,East,Monitor,Customer D,1741,1740
109,2024-03-28,North,Monitor,Customer A,5204,1282
110,2024-10-05,East,Tablet,Customer D,8714,2440
111,2024-03-25,South,Mobile,Customer C,8357,836
112,2024-12-31,South,Monitor,Customer B,819,429
113,2024-05-02,South,Mobile,Customer B,7226,819
114,2024-04-30,South,Monitor,Customer B,7365,482
115,2024-09-09,East,Laptop,Customer C,9326,2677
116,2024-08-30,South,Keyboard,Customer B,5446,561
117,2024-09-27,West,Tablet,Customer C,2989,384
118,2024-11-10,West,Mobile,Customer A,1921,2113
119,2024-08-26,South,Laptop,Customer E,7112,2799
120,2024-11-16,West,Keyboard,Customer C,8478,730
121,2024-07-23,East,Tablet,Customer E,9984,1192
122,2024-05-20,East,Mobile,Customer C,1467,1970
123,2024-03-12,North,Monitor,Customer A,6161,1964
124,2024-05-20,South,Tablet,Customer D,1644,1105
125,2024-07-20,West,Keyboard,Customer E,8331,1229
126,2024-10-16,East,Mobile,Customer D,5582,733
127,2024-11-12,North,Tablet,Customer B,9010,663
128,2024-09-04,West,Monitor,Customer D,2539,298
129,2024-11-15,East,Monitor,Customer A,2192,234
130,2024-12-21,North,Laptop,Customer C,1915,1660
131,2024-05-26,West,Monitor,Customer E,998,650
132,2024-08-26,South,Laptop,Customer D,4456,1422
133,2024-09-11,South,Monitor,Customer C,9341,2053
134,2024-06-11,South,Keyboard,Customer B,9357,275
135,2024-08-19,West,Tablet,Customer C,533,2393
136,2024-07-30,South,Laptop,Customer E,9964,1889
137,2024-11-28,East,Mobile,Customer E,6850,852
138,2024-12-10,East,Laptop,Customer B,9718,1508
139,2024-08-01,South,Laptop,Customer D,1687,383
140,2024-06-05,West,Tablet,Customer E,6556,210
141,2024-03-02,West,Keyboard,Customer A,2968,2183
142,2024-05-22,East,Mobile,Customer A,7567,447
143,2024-08-17,West,Laptop,Customer E,8504,1522
144,2024-06-02,West,Keyboard,Customer E,1355,1729
145,2024-07-14,East,Tablet,Customer D,3218,196
146,2024-07-01,North,Keyboard,Customer B,6969,1927
147,2024-07-12,East,Laptop,Customer B,8623,2590
148,2024-09-04,West,Keyboard,Customer A,4020,814
149,2024-05-15,North,Tablet,Customer D,5192,2493
150,2024-11-02,East,Laptop,Customer C,3555,1398
151,2024-09-16,South,Keyboard,Customer B,2164,269
152,2024-09-13,East,Keyboard,Customer A,9446,557
153,2024-11-22,South,Keyboard,Customer C,7047,1952
154,2024-04-04,North,Laptop,Customer E,649,1470
155,2024-04-23,West,Laptop,Customer D,5838,747
156,2024-09-01,East,Mobile,Customer E,3675,886
157,2024-04-26,West,Monitor,Customer B,7011,1541
158,2024-01-13,North,Monitor,Customer A,895,1394
159,2024-11-10,West,Tablet,Customer B,9352,1431
160,2024-08-19,South,Monitor,Customer A,8635,2115
161,2024-05-01,East,Keyboard,Customer B,9132,2410
162,2024-04-15,South,Tablet,Customer A,3739,244
163,2024-03-27,North,Monitor,Customer B,2002,102
164,2024-10-24,West,Laptop,Customer D,593,1003
165,2024-02-16,South,Mobile,Customer A,2600,86
166,2024-06-18,West,Laptop,Customer D,725,1351
167,2024-11-05,West,Laptop,Customer E,7685,2603
168,2024-08-21,North,Laptop,Customer E,4926,775
169,2024-04-01,South,Laptop,Customer C,4379,181
170,2024-09-26,South,Mobile,Customer D,7663,645
171,2024-05-20,North,Laptop,Customer C,9449,1328
172,2024-05-28,South,Monitor,Customer D,6763,1287
173,2024-07-16,North,Mobile,Customer E,845,2724
174,2024-01-02,South,Tablet,Customer D,3477,2453
175,2024-07-08,South,Keyboard,Customer A,3778,2931
176,2024-03-15,East,Monitor,Customer B,7669,2806
177,2024-12-19,West,Monitor,Customer D,3495,485
178,2024-01-10,West,Keyboard,Customer B,5067,742
179,2024-10-05,South,Laptop,Customer C,5703,2336
180,2024-09-21,East,Mobile,Customer A,1392,2587
181,2024-04-17,East,Tablet,Customer D,7385,2500
182,2024-09-27,North,Keyboard,Customer A,718,347
183,2024-04-04,South,Keyboard,Customer A,1373,1789
184,2024-09-24,North,Mobile,Customer D,3381,2215
185,2024-03-30,East,Tablet,Customer A,2192,2198
186,2024-05-03,South,Keyboard,Customer B,4062,1150
187,2024-06-19,North,Mobile,Customer D,8019,1924
188,2024-12-18,North,Mobile,Customer A,2032,2946
189,2024-08-11,West,Mobile,Customer B,4788,2880
190,2024-12-10,East,Mobile,Customer A,8900,740
191,2024-05-14,South,Tablet,Customer A,1041,1352
192,2024-12-07,South,Mobile,Customer D,3982,1238
193,2024-05-01,West,Mobile,Customer C,8105,2648
194,2024-05-02,South,Mobile,Customer A,2135,2708
195,2024-06-17,North,Mobile,Customer B,3800,381
196,2024-01-23,South,Monitor,Customer C,9923,2730
197,2024-01-26,North,Tablet,Customer C,6252,2152
198,2024-10-30,West,Tablet,Customer C,7987,638
199,2024-10-20,West,Keyboard,Customer D,2429,2287
200,2024-07-08,East,Laptop,Customer E,8965,2902
201,2024-01-08,East,Monitor,Customer C,1366,449
202,2024-11-05,West,Tablet,Customer A,5400,650
203,2024-02-14,West,Monitor,Customer D,8029,705
204,2024-02-25,West,Mobile,Customer D,7108,2873
205,2024-10-09,North,Mobile,Customer B,1928,1780
206,2024-05-06,West,Mobile,Customer B,8519,108
207,2024-09-13,North,Laptop,Customer B,1581,2315
208,2024-02-07,West,Laptop,Customer A,1052,184
209,2024-01-10,East,Monitor,Customer D,2252,2607
210,2024-08-26,South,Keyboard,Customer B,9544,2359
211,2024-02-03,North,Mobile,Customer D,3133,2608
212,2024-01-25,South,Monitor,Customer A,728,1713
213,2024-02-20,North,Keyboard,Customer A,5329,2875
214,2024-05-26,East,Mobile,Customer C,777,710
215,2024-04-06,East,Mobile,Customer C,2487,2890
216,2024-08-15,North,Keyboard,Customer D,8051,431
217,2024-10-04,East,Laptop,Customer D,3008,217
218,2024-05-30,North,Monitor,Customer D,5279,2398
219,2024-01-03,North,Monitor,Customer E,3287,2529
220,2024-08-07,West,Mobile,Customer E,1124,1826
221,2024-10-13,West,Monitor,Customer B,8869,329
222,2024-03-22,North,Laptop,Customer A,7683,335
223,2024-12-02,North,Monitor,Customer B,2656,1916
224,2024-03-06,East,Laptop,Customer A,6372,2436
225,2024-11-25,South,Mobile,Customer D,3236,1038
226,2024-06-23,North,Keyboard,Customer D,9309,1798
227,2024-08-02,North,Laptop,Customer C,9073,2672
228,2024-08-18,East,Laptop,Customer D,7093,428
229,2024-02-11,West,Keyboard,Customer B,5822,1642
230,2024-08-30,North,Mobile,Customer E,3056,631
231,2024-01-17,North,Monitor,Customer C,1842,2128
232,2024-08-07,West,Mobile,Customer A,5665,2807
233,2024-03-27,West,Keyboard,Customer D,7052,2185
234,2024-07-31,South,Keyboard,Customer D,8741,230
235,2024-01-16,West,Mobile,Customer E,3673,1529
236,2024-10-24,West,Laptop,Customer C,8992,2901
237,2024-11-06,East,Laptop,Customer C,8141,2425
238,2024-04-09,South,Laptop,Customer D,1768,461
239,2024-01-07,West,Monitor,Customer C,4091,2798
240,2024-08-19,South,Keyboard,Customer C,2642,2189
241,2024-09-27,East,Mobile,Customer A,5788,2045
242,2024-01-13,East,Mobile,Customer A,7978,1480
243,2024-06-18,North,Mobile,Customer C,9226,265
244,2024-02-12,North,Keyboard,Customer D,1848,1637
245,2024-10-16,West,Laptop,Customer E,5340,69
246,2024-11-06,North,Laptop,Customer A,1802,891
247,2024-10-03,South,Keyboard,Customer B,5034,1443
248,2024-07-26,South,Keyboard,Customer B,5115,573
249,2024-11-29,West,Tablet,Customer E,8624,2163
250,2024-07-16,East,Laptop,Customer B,6429,947
251,2024-02-03,West,Keyboard,Customer E,8772,1813
252,2024-05-02,North,Mobile,Customer E,3098,688
253,2024-09-17,East,Mobile,Customer E,6363,557
254,2024-08-31,West,Keyboard,Customer A,9923,2259
255,2024-09-16,South,Tablet,Customer D,9517,2508
256,2024-05-07,South,Laptop,Customer D,4674,1555
257,2024-05-16,South,Monitor,Customer C,1769,2011
258,2024-02-20,East,Laptop,Customer E,6703,1506
259,2024-09-02,South,Monitor,Customer E,8574,2078
260,2024-07-04,East,Monitor,Customer B,9248,2861
261,2024-12-26,South,Monitor,Customer C,7442,215
262,2024-06-21,South,Keyboard,Customer C,6028,1109
263,2024-04-21,West,Laptop,Customer B,7530,1966
264,2024-05-30,East,Laptop,Customer B,8213,684
265,2024-08-04,North,Keyboard,Customer D,6886,2575
266,2024-08-19,South,Keyboard,Customer D,8793,249
267,2024-11-21,South,Tablet,Customer E,5415,430
268,2024-09-04,West,Mobile,Customer C,638,1627
269,2024-07-01,North,Tablet,Customer A,1129,455
270,2024-06-16,South,Laptop,Customer C,4455,2817
271,2024-01-22,South,Laptop,Customer E,5124,2654
272,2024-03-06,South,Mobile,Customer E,6282,1985
273,2024-05-09,South,Tablet,Customer D,9093,1021
274,2024-12-29,East,Mobile,Customer B,9407,867
275,2024-12-14,North,Tablet,Customer A,8381,499
276,2024-05-21,North,Mobile,Customer B,6596,1234
277,2024-01-06,South,Keyboard,Customer A,3883,2258
278,2024-08-03,East,Tablet,Customer D,4258,1511
279,2024-10-11,East,Keyboard,Customer D,6397,2170
280,2024-04-10,South,Monitor,Customer A,9736,267
281,2024-03-28,West,Tablet,Customer B,6998,2125
282,2024-03-29,East,Mobile,Customer E,8092,2159
283,2024-11-11,West,Monitor,Customer A,1623,1944
284,2024-01-29,South,Laptop,Customer E,4535,1943
285,2024-05-02,East,Monitor,Customer A,9388,684
286,2024-09-21,North,Mobile,Customer C,5723,559
287,2024-08-30,South,Monitor,Customer C,3967,2287
288,2024-10-20,South,Tablet,Customer E,4305,1714
289,2024-12-02,South,Laptop,Customer D,4917,2998
290,2024-12-21,South,Mobile,Customer E,6667,2996
291,2024-11-23,South,Monitor,Customer C,9012,1300
292,2024-01-26,West,Monitor,Customer E,5801,2030
293,2024-05-15,East,Tablet,Customer B,9393,1802
294,2024-09-29,North,Laptop,Customer E,2425,50
295,2024-06-26,South,Keyboard,Customer D,9335,2253
296,2024-07-18,South,Keyboard,Customer A,788,249
297,2024-06-30,North,Mobile,Customer C,6345,2770
298,2024-03-06,South,Mobile,Customer E,4376,1753
299,2024-02-25,North,Monitor,Customer C,1676,2994
300,2024-07-30,East,Tablet,Customer E,2105,2888
301,2024-11-14,South,Mobile,Customer E,1730,2572
302,2024-10-17,East,Keyboard,Customer D,6333,625
303,2024-05-29,North,Mobile,Customer C,7483,612
304,2024-09-19,East,Monitor,Customer E,3447,1856
305,2024-07-21,North,Tablet,Customer C,9640,1694
306,2024-05-01,North,Tablet,Customer E,1007,2319
307,2024-06-26,East,Keyboard,Customer C,2230,1515
308,2024-06-05,West,Tablet,Customer A,1135,2091
309,2024-10-19,East,Monitor,Customer D,1081,2592
310,2024-09-10,East,Laptop,Customer E,6306,127
311,2024-10-26,South,Mobile,Customer A,1899,701
312,2024-10-21,North,Mobile,Customer D,3731,1814
313,2024-02-09,East,Laptop,Customer B,4560,2791
314,2024-09-15,South,Tablet,Customer A,5611,618
315,2024-07-16,East,Tablet,Customer E,3432,2195
316,2024-03-26,East,Laptop,Customer E,5810,644
317,2024-08-20,West,Monitor,Customer A,4800,1903
318,2024-07-10,South,Laptop,Customer B,1176,2529
319,2024-01-08,North,Keyboard,Customer D,6676,2161
320,2024-10-26,South,Keyboard,Customer B,9038,2579
321,2024-04-01,South,Keyboard,Customer C,9913,2082
322,2024-10-16,North,Mobile,Customer B,3144,659
323,2024-04-05,East,Keyboard,Customer A,4111,1087
324,2024-12-18,North,Keyboard,Customer C,8338,1375
325,2024-07-21,West,Mobile,Customer C,6033,2579
326,2024-01-05,East,Mobile,Customer A,5634,1880
327,2024-10-09,East,Monitor,Customer C,8189,1895
328,2024-02-08,West,Keyboard,Customer E,7182,2389
329,2024-03-15,North,Mobile,Customer A,7441,783
330,2024-11-30,East,Mobile,Customer A,9186,2359
331,2024-10-07,East,Mobile,Customer A,1987,1470
332,2024-05-11,North,Keyboard,Customer B,653,945
333,2024-08-08,North,Mobile,Customer D,7960,1509
334,2024-05-28,North,Mobile,Customer D,6525,1448
335,2024-09-14,North,Keyboard,Customer A,6529,1003
336,2024-11-29,North,Monitor,Customer E,8061,931
337,2024-01-15,West,Keyboard,Customer B,2106,2996
338,2024-05-29,East,Mobile,Customer A,6537,1531
339,2024-03-06,North,Mobile,Customer B,9326,2752
340,2024-12-22,North,Keyboard,Customer C,7403,1994
341,2024-12-29,West,Keyboard,Customer C,508,885
342,2024-01-07,North,Mobile,Customer A,817,2027
343,2024-01-30,West,Mobile,Customer B,4084,385
344,2024-04-02,South,Tablet,Customer D,6003,2131
345,2024-07-02,East,Tablet,Customer C,8698,646
346,2024-03-23,South,Keyboard,Customer D,2661,402
347,2024-11-05,West,Laptop,Customer B,7880,2790
348,2024-06-23,East,Mobile,Customer D,2070,2390
349,2024-12-25,West,Mobile,Customer D,6153,2629
350,2024-02-18,South,Tablet,Customer E,6230,2215
351,2024-01-21,West,Keyboard,Customer E,4176,1690
352,2024-09-07,South,Monitor,Customer B,5806,350
353,2024-12-26,West,Keyboard,Customer B,3603,1285
354,2024-08-17,West,Laptop,Customer C,4544,1233
355,2024-10-25,North,Tablet,Customer C,6587,1540
356,2024-08-11,North,Monitor,Customer E,2930,1712
357,2024-07-04,East,Monitor,Customer E,3353,2429
358,2024-06-13,West,Monitor,Customer D,3303,2131
359,2024-06-16,East,Monitor,Customer C,7714,1156
360,2024-12-06,East,Tablet,Customer B,2173,314
361,2024-04-20,West,Tablet,Customer B,7718,1762
362,2024-08-10,South,Tablet,Customer E,1643,86
363,2024-04-18,West,Monitor,Customer E,9125,205
364,2024-01-20,West,Laptop,Customer E,2797,2933
365,2024-09-18,North,Keyboard,Customer B,5933,332
366,2024-08-19,South,Laptop,Customer D,4771,885
367,2024-01-08,North,Monitor,Customer D,1695,2898
368,2024-09-03,South,Monitor,Customer D,6075,2679
369,2024-06-26,South,Laptop,Customer C,6120,2843
370,2024-08-10,West,Tablet,Customer E,4822,711
371,2024-12-10,North,Tablet,Customer E,4449,2262
372,2024-11-03,South,Tablet,Customer C,4807,965
373,2024-04-14,South,Tablet,Customer E,6355,1626
374,2024-07-21,South,Tablet,Customer C,5818,101
375,2024-06-13,North,Keyboard,Customer A,6631,1458
376,2024-03-27,North,Monitor,Customer B,7492,353
377,2024-11-13,North,Laptop,Customer D,8387,1633
378,2024-08-20,East,Mobile,Customer E,6360,809
379,2024-08-09,South,Monitor,Customer B,5773,2972
380,2024-07-26,North,Mobile,Customer D,1883,2666
381,2024-01-21,South,Tablet,Customer C,5500,1271
382,2024-10-23,South,Tablet,Customer A,3132,1473
383,2024-10-28,East,Tablet,Customer E,5523,2978
384,2024-02-09,South,Keyboard,Customer A,1189,2519
385,2024-03-09,North,Monitor,Customer B,6624,1019
386,2024-09-03,West,Mobile,Customer D,4428,2689
387,2024-09-10,North,Monitor,Customer C,4395,1470
388,2024-01-22,North,Monitor,Customer C,5889,1901
389,2024-04-18,North,Keyboard,Customer D,1792,657
390,2024-07-03,North,Monitor,Customer D,8744,234
391,2024-01-06,West,Laptop,Customer A,3250,352
392,2024-12-07,West,Monitor,Customer E,5631,555
393,2024-08-23,East,Monitor,Customer D,1506,2722
394,2024-06-16,West,Monitor,Customer C,2732,2464
395,2024-02-24,East,Mobile,Customer B,9442,683
396,2024-09-19,West,Tablet,Customer D,6245,485
397,2024-11-02,West,Tablet,Customer E,9418,265
398,2024-09-27,East,Laptop,Customer B,7711,1921
399,2024-02-03,West,Keyboard,Customer E,2029,2303
400,2024-05-30,North,Tablet,Customer B,3760,1131
401,2024-11-18,East,Tablet,Customer C,9231,1435
402,2024-11-27,South,Keyboard,Customer D,2827,1041
403,2024-04-01,East,Tablet,Customer A,938,884
404,2024-06-29,East,Keyboard,Customer E,3906,295
405,2024-07-25,South,Monitor,Customer A,5954,368
406,2024-07-03,North,Laptop,Customer B,2025,998
407,2024-07-23,South,Laptop,Customer A,1863,2060
408,2024-04-20,South,Monitor,Customer C,2090,901
409,2024-12-11,East,Tablet,Customer C,2451,2209
410,2024-12-02,East,Tablet,Customer D,7761,1618
411,2024-03-20,West,Keyboard,Customer E,7915,2076
412,2024-08-23,East,Keyboard,Customer C,2894,946
413,2024-10-08,East,Keyboard,Customer C,8383,2085
414,2024-01-03,West,Keyboard,Customer B,1005,2121
415,2024-05-24,East,Tablet,Customer C,5912,1406
416,2024-09-04,North,Monitor,Customer A,3526,2558
417,2024-09-30,East,Tablet,Customer A,6945,2521
418,2024-05-15,South,Laptop,Customer B,6354,2355
419,2024-09-01,South,Mobile,Customer D,2049,959
420,2024-07-17,West,Monitor,Customer B,2987,2600
421,2024-02-28,West,Laptop,Customer B,6096,2212
422,2024-03-04,North,Mobile,Customer C,8282,59
423,2024-12-06,North,Keyboard,Customer B,3413,2091
424,2024-01-05,East,Keyboard,Customer D,737,591
425,2024-04-25,South,Keyboard,Customer E,9930,2049
426,2024-06-10,West,Laptop,Customer C,4159,2928
427,2024-08-01,East,Laptop,Customer B,1993,179
428,2024-08-28,East,Mobile,Customer D,9204,2106
429,2024-04-13,South,Mobile,Customer E,2972,965
430,2024-02-07,North,Tablet,Customer E,4984,1154
431,2024-03-25,North,Keyboard,Customer E,1294,1322
432,2024-05-30,South,Mobile,Customer E,2419,2543
433,2024-09-06,East,Keyboard,Customer D,8337,939
434,2024-07-15,South,Keyboard,Customer D,2659,2605
435,2024-04-21,North,Monitor,Customer E,2797,1575
436,2024-06-08,West,Tablet,Customer C,3557,1680
437,2024-01-05,South,Laptop,Customer D,8562,1437
438,2024-10-31,South,Mobile,Customer C,1225,2203
439,2024-09-08,West,Mobile,Customer C,5344,1483
440,2024-11-24,South,Mobile,Customer E,9856,1032
441,2024-07-10,East,Monitor,Customer C,9979,1589
442,2024-12-01,North,Mobile,Customer C,9779,2954
443,2024-04-19,South,Mobile,Customer D,1510,1262
444,2024-01-01,East,Laptop,Customer B,8368,2115
445,2024-03-03,West,Laptop,Customer D,9560,2518
446,2024-08-28,East,Tablet,Customer B,7734,2839
447,2024-04-24,South,Monitor,Customer D,3406,2035
448,2024-01-01,East,Mobile,Customer E,3864,2034
449,2024-11-29,West,Keyboard,Customer E,4930,1641
450,2024-05-18,South,Mobile,Customer C,3109,1660
451,2024-11-05,West,Mobile,Customer B,5018,271
452,2024-07-11,East,Tablet,Customer C,5563,304
453,2024-05-04,East,Keyboard,Customer E,4256,2910
454,2024-04-29,East,Tablet,Customer B,3036,1212
455,2024-03-13,West,Tablet,Customer B,5827,2121
456,2024-10-03,East,Laptop,Customer D,9050,1270
457,2024-03-28,South,Monitor,Customer E,9503,2624
458,2024-09-12,South,Laptop,Customer A,5286,518
459,2024-04-20,North,Monitor,Customer D,4791,144
460,2024-07-19,East,Mobile,Customer A,2673,1092
461,2024-12-10,North,Monitor,Customer D,5971,800
462,2024-05-17,East,Keyboard,Customer A,7294,2936
463,2024-03-17,East,Mobile,Customer C,603,2142
464,2024-08-16,North,Monitor,Customer B,8035,2122
465,2024-07-17,East,Tablet,Customer E,4295,1095
466,2024-08-27,West,Keyboard,Customer C,9714,788
467,2024-08-28,North,Laptop,Customer A,7195,2398
468,2024-11-29,West,Monitor,Customer B,7218,201
469,2024-08-15,West,Laptop,Customer E,6305,1930
470,2024-10-28,North,Laptop,Customer A,3601,1788
471,2024-02-25,North,Tablet,Customer C,5638,2612
472,2024-11-07,South,Keyboard,Customer C,1646,2306
473,2024-05-14,West,Monitor,Customer C,3951,1408
474,2024-02-14,West,Tablet,Customer B,5574,2163
475,2024-09-21,West,Keyboard,Customer D,7172,379
476,2024-05-26,South,Laptop,Customer D,8111,1227
477,2024-09-25,South,Laptop,Customer E,2235,2132
478,2024-01-27,West,Keyboard,Customer A,9352,819
479,2024-02-03,East,Mobile,Customer B,3284,682
480,2024-07-25,West,Monitor,Customer B,7329,2884
481,2024-01-07,West,Tablet,Customer E,1476,2936
482,2024-10-07,North,Tablet,Customer E,2395,2955
483,2024-01-13,East,Tablet,Customer D,9062,1806
484,2024-04-16,East,Tablet,Customer B,7585,2539
485,2024-01-12,North,Monitor,Customer E,1394,1567
486,2024-03-16,East,Mobile,Customer B,1688,688
487,2024-07-12,South,Monitor,Customer E,9040,1352
488,2024-01-26,East,Mobile,Customer A,8489,2357
489,2024-07-11,East,Monitor,Customer A,1499,2466
490,2024-05-20,South,Tablet,Customer E,9974,2190
491,2024-07-18,East,Mobile,Customer E,7562,1943
492,2024-11-05,East,Tablet,Customer A,1099,2823
493,2024-08-14,West,Mobile,Customer C,3817,580
494,2024-08-24,North,Keyboard,Customer E,1709,2921
495,2024-12-04,North,Monitor,Customer A,5879,2825
496,2024-07-29,South,Laptop,Customer A,5508,2721
497,2024-05-26,North,Laptop,Customer C,2417,1681
498,2024-03-11,East,Keyboard,Customer D,9383,1522
499,2024-11-30,South,Tablet,Customer B,4931,737
500,2024-08-11,South,Tablet,Customer D,1156,2241
501,2024-01-02,East,Monitor,Customer C,3838,2705
502,2024-02-28,West,Monitor,Customer E,725,1112
503,2024-01-24,South,Mobile,Customer C,7427,1838
504,2024-08-08,East,Mobile,Customer C,700,590
505,2024-03-21,West,Laptop,Customer A,5751,2406
506,2024-01-26,South,Tablet,Customer E,1301,1279
507,2024-06-20,North,Keyboard,Customer D,6436,1248
508,2024-08-21,East,Mobile,Customer B,7076,2921
509,2024-09-23,West,Tablet,Customer C,1164,1538
510,2024-11-04,West,Mobile,Customer A,6286,2457
511,2024-03-27,East,Tablet,Customer D,1264,2388
512,2024-03-16,West,Keyboard,Customer A,2708,2920
513,2024-03-16,South,Keyboard,Customer B,2873,899
514,2024-03-17,West,Mobile,Customer A,664,2279
515,2024-03-18,West,Keyboard,Customer D,4860,1048
516,2024-08-15,West,Mobile,Customer C,3967,1558
517,2024-06-29,South,Monitor,Customer D,5288,2239
518,2024-12-09,West,Tablet,Customer D,7327,860
519,2024-07-17,West,Monitor,Customer A,6799,565
